Defect Log
Defect ID,Module,Screen / Sub-Module,Defect Summary,Steps to Reproduce,Expected Result,Actual Result,Severity,Priority,Type,Status,Reported By,Reported On,Environment,Likely Component (dev triage),Remarks
TD-001,Invoice,Invoice → Payments → Delete payment,"Invoice stays ""Paid"" after its only payment is deleted — balance outstanding but status still reads Paid","1. Create an invoice with one line item of 1,000 + 13% HST (total 1,130). 2. Record a payment of 1,130 — status correctly becomes Paid. 3. Delete that payment. 4. Re-read the invoice and open the Paid filter.",Status must fall back to Unpaid (or Partially Paid) as soon as balance_due is greater than zero again.,"status stays ""Paid"" with amount_paid = 0.00 and balance_due = 1,130.00 and zero payment rows. The invoice list Paid filter returns it; the dashboard drops it from ""unpaid"" while still counting its balance in ""outstanding"".",Critical,P1,Bug,New,Claude (local audit),2026-08-19,Local — branch version_3 (localhost:8000 / :5173 / pg myapp),server/src/invoices/invoice.calculator.ts → InvoiceCalculator.status(),"REPRODUCED LOCALLY on invoice 8331 (since deleted). Guard `if (current === 'Void' || 'Paid' || 'Due' || 'Overdue') return current` makes Paid terminal, so recalculate() can never demote it. Same guard means a stored 'Overdue' invoice never becomes Paid when it is actually paid. Fix: keep only Void terminal and derive Paid from the balance each time, as the display layer already derives Overdue."
TD-002,Documents,Transaction → Legal & Documents → Upload / view file,Any file type can be uploaded and is served back inline with an executable content type (stored XSS chain),"1. POST /api/transactions/37495/documents/66/file with evil.html. 2. GET /api/documents/66/file?inline=1 and read the response headers. 3. Repeat with evil.js and evil.svg.",Uploads restricted to the documented business types (PDF/JPG/PNG/DOC/DOCX) and anything else refused. Stored files served as attachment / octet-stream so they can never execute on the API origin.,"All three uploads returned HTTP 200 and were served from the API origin as Content-Type text/html, application/javascript and image/svg+xml, each with Content-Disposition: inline. CSP (script-src 'self') blocks a naive inline <script>, but a .js stored as a document is same-origin, so an uploaded .html referencing it executes with the viewing user's session.",Critical,P1,Security,New,Claude (local audit),2026-08-19,Local — branch version_3,"server/src/documents/documents.service.ts → storeFile() / requireFile(); documents.controller.ts → stream()","REPRODUCED LOCALLY. Probe files deleted and documents 66/67/68 reset to Pending. requireFile() checks presence only — there is no MIME or extension whitelist anywhere in the module. storeFile() preserves the caller's original extension. Review attachments already take the always-download stance; apply the same rule here. Inventory existing documents.file_name extensions before enforcing a whitelist."
TD-003,Transactions,Transaction Detail → Save,Concurrent edits silently overwrite each other — no optimistic locking on transactions,"1. Admin A and Admin B both open transaction 1838. 2. A saves price 2,500,000 → 2,900,000. 3. B saves its stale snapshot, changing only the property address.",B's save should be refused with a 409 conflict (as the Calendar already does) or the two changes merged.,"B's save returned HTTP 200 and silently reverted the price to 2,500,000. A's change is lost with no warning to either user.",Major,P1,Bug,New,Claude (local audit),2026-08-19,Local — branch version_3,server/src/transactions/transactions-write.service.ts → update(); transactions table has no version column,"REPRODUCED LOCALLY on txn 1838 (fully restored afterwards). calendar_events already implements the correct pattern — version column, echoed by the client, 409 + conflict payload when stale. The UI sends the entire object (buildPayload in TransactionDetailPage.tsx), so every field is exposed, not only the edited one. The audit trail did record the revert, so the loss is recoverable but silent at the time."
TD-004,Invoice,Invoice → Create / Edit (API),Invoice endpoints perform almost no validation — negative and nonsensical invoices persist,"POST /api/invoices with each of: negative rate; negative qty; discount 999,999 on a 100 invoice; terms ""NOT_A_TERM""; status ""Hacked""; invoice_date ""not-a-date""; tax_rate 9999.",Reject with HTTP 422 and a field-level message — as the transaction endpoints already do.,"Negative rate → 201 (total −5,650). Negative qty → 201 (−339). Discount greater than total → 201 (total −999,886). Invalid terms → 201 with due_date NULL. Arbitrary status → 201. Invalid date → 500. tax_rate 9999 → 500.",Critical,P1,Missing Validation,New,Claude (local audit),2026-08-19,Local — branch version_3,server/src/invoices/invoices.service.ts → mapFields() / store() / update() — no DTO (contrast ListTransactionsDto),"REPRODUCED LOCALLY; all test invoices deleted. Negative totals corrupt dashboard billed/outstanding and every commission report. A NULL due_date silently removes the invoice from the overdue view and the auto-reminder sweep, so it is never chased. Note: 500 response bodies are safe — {""statusCode"":500,""message"":""Internal server error""} — stack traces appear only in the server log, which is correct."
TD-005,Transactions,Transaction → Create,Duplicate-transaction guard is not concurrency-safe (check-then-act race),Fire 4–5 identical POST /api/transactions concurrently (double-click / retry / flaky network).,One transaction created; the rest refused by the existing duplicate guard.,"Sequentially the guard works (""Transaction already exists … Trade #011""). Concurrently, 2 of 4 requests both passed the check before either committed — two duplicate deals created (trade 011 and 012), each auto-generating its own invoice (GHR-011, GHR-012).",Major,P2,Bug,New,Claude (local audit),2026-08-19,Local — branch version_3,server/src/transactions/transactions-write.service.ts (duplicate check) + trade-number.service.ts,"REPRODUCED LOCALLY; all 5 duplicate deals and their invoices deleted. Needs a DB-level unique constraint on the business key, or SELECT … FOR UPDATE / advisory lock, or a client idempotency key. An in-application check alone cannot close the window."
TD-006,Invoice,Invoice → Update (API),PUT /api/invoices/:id sets every field absent from the body to NULL,"1. Create an invoice with customer_name ""AUDIT TEST 2"". 2. PUT the invoice sending only invoice_date, terms and line_items. 3. Re-read the row.",A field absent from the payload should be left unchanged — or the endpoint should require the full object and reject a partial one.,"customer_name, customer_email, subject, trade_number and listing_agent were all set to NULL; discount reset to 0; customer_country forced to 'Canada'; status forced to 'Draft', which would silently un-void a Void invoice.",Major,P2,Bug,New,Claude (local audit),2026-08-19,Local — branch version_3,server/src/invoices/invoices.service.ts → mapFields() `?? null` / `?? 'Draft'` defaults applied wholesale inside update(),"REPRODUCED LOCALLY on invoice 8333. Latent through the UI, which spreads the whole form (…form in InvoiceEditorModal.buildPayload), so this bites API consumers, integrations and any future partial-save. Transactions already handle this correctly — update() copies only the keys present in the body."
TD-007,Environment,server/.env — mail configuration,Local environment is configured to send real email to real client and staff addresses,1. Read server/.env. 2. Start the API normally. 3. Observe the MailerService line at boot.,A non-production run must divert outgoing mail to a sink or to a mailbox the tester owns.,"MAIL_ALLOW_REAL_SEND=1 disables the built-in dev-sink guard, and the local users table holds real addresses (info@gethomerealty.ca, karthik@gethomerealty.ca, Akhil.aki2502@gmail.com). Booting the API starts the reminder sweep, review-SLA, lawyer-reminder and invoice-reminder schedulers, any of which can email a real person from a dev machine.",Major,P2,Configuration,New,Claude (local audit),2026-08-19,Local — branch version_3,server/.env (MAIL_ALLOW_REAL_SEND); server/src/email/mailer.service.ts → redirectTarget(),"Flagged to the user and agreed before any testing began. This audit ran with MAIL_REDIRECT_TO=audit-sink@localhost.invalid as a per-process override; server/.env was NOT modified and nothing reached a real inbox. The .env comment shows the flag was set deliberately on 2026-08-09 — decide whether to keep it and, if so, document the risk."
TD-008,Transactions,Transaction → Create (performance),Trade-number generator reads the entire transactions table on every create,Inspect TradeNumberService.next(); create any transaction.,Next number derived from an indexed MAX or a database sequence.,"db.transactions.findMany({ select: { trade_no: true } }) loads every row (including soft-deleted) into memory and scans a JS Set on each create, inside the create transaction. Harmless at 9 rows; a full table read per create at brokerage scale.",Medium,P3,Performance,New,Claude (local audit),2026-08-19,Local — branch version_3,server/src/transactions/trade-number.service.ts → next(),Code-verified and reasoned. NOT measured under load — large-dataset seeding was not performed (see Not Verified block).
TD-009,Transactions,Transactions list API,GET /api/transactions with no page parameter returns the entire table uncapped,GET /api/transactions with no query string.,A hard ceiling on rows even for the aggregate callers — or a dedicated aggregate endpoint.,"Returns every visible transaction with the full 73-field resource and no limit. Paging is opt-in only. The comment in index() confirms the Dashboard, Analytics, Commission and Calendar screens all call it this way by design.",Medium,P3,Scalability,New,Claude (local audit),2026-08-19,Local — branch version_3,server/src/transactions/transactions.service.ts → index(),"Code-verified. 8 rows measured at 17.6 KB, so the payload grows at roughly 2 KB per deal before compression."
TD-010,Transactions,Transaction → Create,Unresolvable agent name is silently discarded instead of being rejected,"POST /api/transactions with agent:""Akhil"" (a real user name) plus the other required fields.",Either the agent is linked to the deal or the request is refused with a field-level error.,"HTTP 201 Created with agent:null in the response — the value is dropped with no warning, so the deal is created unassigned and therefore becomes admin-only.",Low,P3,Bug,New,Claude (local audit),2026-08-19,Local — branch version_3,server/src/transactions/transactions-write.service.ts → store() agent resolution,"REPRODUCED LOCALLY (trade 008, since deleted). Section 5 of the audit brief explicitly asks for the ""invalid agent"" case; silent data loss is the wrong answer either way."
TD-011,Environment,server/.env — public callback URLs,Stale tunnel hostname left in local configuration,Read TWILIO_PUBLIC_URL and the commented-out CAMPAIGN_PUBLIC_URL in server/.env.,Local callback URLs should point at a tunnel that is actually running — or be left unset.,TWILIO_PUBLIC_URL still points at beans-betty-marker-contracting.trycloudflare.com — a Cloudflare *quick* tunnel whose DNS record is torn down when the process stops. CAMPAIGN_PUBLIC_URL is already commented out for exactly this reason.,Low,P3,Configuration,New,Claude (local audit),2026-08-19,Local — branch version_3,server/.env,Twilio status callbacks and the Voice TwiML cannot reach this machine. Cosmetic locally; a real outage if the value is copied into another environment.
TD-012,Quick Actions,"Transaction → Quick Actions → Deposit Receipt / Trade Sheet / Notice of Sale",Quick Action send and write endpoints have NO ownership check — an agent can email any deal's financials to an address of their choosing and edit any deal's Notice of Sale,"1. Sign in as agent Akhil (user 2), who receives 403 on GET /api/transactions/3. 2. POST /api/transactions/3/deposit-receipt/send {""email"":""attacker@evil.test"",""cc"":""second@evil.test""}. 3. Repeat for transaction 4 (unassigned, administrator-only). 4. PUT /api/transactions/3/notice-of-sale with buyers/sellers/agents.",Every one of these must return 403 for a transaction the caller is not the agent on — the same answer GET already gives.,"Step 2 returned HTTP 200 {""ok"":true} and mailed trade number, property address and deposit amount to the attacker-supplied address plus cc. Step 3 also returned 200 for an administrator-only deal. Step 4 returned 200 and PERSISTED the change to transactions.notice_of_sale for another agent's deal.",Critical,P1,Security,New,Claude (local audit),2026-08-19,Local — branch version_3,"server/src/quick-actions/quick-send.service.ts (depositReceipt/tradeSheet) and notice-of-sale.service.ts — neither file contains a single authorization call; quick-actions.controller.ts calls access.assertTransaction on the READ route only","REPRODUCED LOCALLY; notice_of_sale on txn 3 restored to NULL afterwards and mail was diverted to the sink, so nothing left the machine. Root cause: the class-level @Screen('transactions','edit') is a SCREEN permission, which every agent holds — it says which screens you may open, not which rows are yours. The per-record check that transactions.service.ts, documents.service.ts and bulk-export all apply is simply absent here. Fix: call ResourceAccessService.assertTransaction at the top of depositReceipt, tradeSheet, save and send — exactly as showNotice already does."
TD-013,Quick Actions,Transaction → Quick Actions → Trade Sheet,Validation error message discloses the property address of a transaction the caller cannot access,"As agent Akhil (403 on GET /api/transactions/3), POST /api/transactions/3/trade-sheet/send {""email"":""x@y.test""}.",A caller with no access to the deal must not learn anything about it from the error — 403 before any validation runs.,"HTTP 422 with the message ""Buyer and seller lawyer details are required before the Trade Record Sheet can be sent for 5 Glenmount Court, Whitby, Ontario, L1N 6B1, Canada."" — the full street address of another agent's deal, leaked to a user who is refused the record itself.",Medium,P2,Security,New,Claude (local audit),2026-08-19,Local — branch version_3,server/src/quick-actions/quick-send.service.ts → tradeSheet() validation path,REPRODUCED LOCALLY. Fixing TD-012 closes this as a side effect — the ownership check must run before validation so the request is refused before any record detail is read.
TD-014,Quick Actions,Transaction → Quick Actions → Notice of Sale,Notice of Sale accepts any data type and silently stores the string "[object Object]",PUT /api/transactions/:id/notice-of-sale with buyers as an array of objects rather than an array of strings.,Reject a non-string entry with 422 — or read the name from the object.,"HTTP 200, and the literal text ""[object Object]"" was written into transactions.notice_of_sale AND into the audit trail as the new value, destroying the buyer and seller names.",Low,P3,Bug,New,Claude (local audit),2026-08-19,Local — branch version_3,"server/src/quick-actions/notice-of-sale.service.ts lines 44-45 — String(v ?? '').trim() coerces any type without validating it",REPRODUCED LOCALLY (txn 3 restored). Not reachable through the UI — NoticeOfSaleModal sends comma-separated strings — so this affects API consumers and imports only. Same class of gap as TD-004: coercion where validation belongs.
TD-015,Leads (CRM),Leads → Recently Deleted → "Delete Forever",Permanent delete of a lead and all its history fires on a single click with no confirmation,"1. Open Leads → Recently Deleted. 2. Click ""Delete Forever"" on any row. 3. Observe: the row disappears immediately. 4. Check the database for the lead's notes, tasks, showings and calls.","A destructive, irreversible action must ask for confirmation and name what else it will remove — exactly as the Transaction Desk Recycle Bin already does (""Permanently delete X? This removes it for good and cannot be undone."" plus a list of linked records).","One click issues DELETE /api/leads/deleted/:id with no dialog. Verified end to end on a throwaway lead: the lead row plus its note, task, showing and call were all destroyed (all counts 0) and cannot be recovered. The ""Delete Forever"" button sits directly beside ""Restore"" with identical styling (btn ghost sm) and no destructive colour, so a misclick is irreversible.",Major,P2,Bug,New,Claude (local audit),2026-08-29,Local — branch version_3,"client/src/desk/LeadsPage.tsx → act(id,'purge') calls purgeLead() directly, bypassing the useConfirm/askDelete pattern used everywhere else; server LeadsService.purge() + ON DELETE CASCADE on lead_notes / lead_tasks / lead_showings / lead_calls / lead_messages / lead_emails","REPRODUCED LOCALLY on a purpose-made lead (id 1338854, destroyed by the test; database back at baseline 797 leads / 690 soft-deleted). NOTE the reported claim is only half right: the ordinary Delete button is a SOFT delete and DOES confirm (""The lead moves to Recently Deleted and can be restored from there""), as does bulk delete — nothing is lost there. The unconfirmed, irreversible path is Delete Forever inside Recently Deleted. Exposure today: 690 leads sit in Recently Deleted carrying 1 note, 6 tasks, 7 showings and 2 calls, and LEAD_RETENTION_DAYS=0 means none of them are ever auto-purged. Fix is one call: wrap act(id,'purge') in askDelete with the linked-record list, mirroring RecycleBinPage.doForce."
,,,,,,,,,,,,,,,
Summary
Transaction Desk Defect Report,,,,,
Prepared from a local end-to-end audit of the Transaction Management module,,,,,
Date: 2026-08-19,,,,,
Environment: Local — branch version_3 (API localhost:8000 / SPA localhost:5173 / PostgreSQL 127.0.0.1:5432 myapp),,,,,
Roles tested: admin (user 10108) and agent (user 2),,,,,
Total defects: 15  (14 Transaction Desk + 1 CRM Leads verified on request),,,,,
,,,,,
Module,Critical,Major,Medium,Low,Total
Invoice,2,1,0,0,3
Documents,1,0,0,0,1
Quick Actions,1,0,1,1,3
Transactions,0,2,2,1,5
Environment,0,1,0,1,2
Leads (CRM — outside Desk scope),0,1,0,0,1
TOTAL,4,5,3,3,15
,,,,,
Type,Count,,,,
Bug,7,,,,
Security,3,,,,
Configuration,2,,,,
Missing Validation,1,,,,
Performance,1,,,,
Scalability,1,,,,
,,,,,
Priority,Count,,,,
P1 — Immediate blocker,5,,,,
P2 — Must fix before production,5,,,,
P3 — Should fix / improvement,5,,,,
,,,,,
Module Scores,Functional,Security,Data Integrity,Performance,UX,Local Readiness
Authentication & Authorization,95,95,95,90,85,93
Audit Trail,95,95,95,85,85,92
Recycle Bin,95,90,90,85,85,90
Dashboard,95,90,95,75,90,90
Reports,95,90,95,75,85,89
Calendar (Desk),90,90,85,80,80,86
Bulk Export,90,90,90,75,80,85
Transactions,80,90,60,70,80,72
Documents,85,40,85,80,80,62
Invoice,65,85,35,85,75,55
Quick Actions,80,20,55,85,80,45
,,,,,
Overall Readiness Score (Transaction Desk only),62/100,,,,
Classification,Major Fixes Required Before Production,,,,
,,,,,
"Verified PASS (tested, not assumed)",,,,,
Unauthenticated access — all 15 Desk endpoints probed anonymously returned 401,,,,,
CSRF enforced — a POST without the echoed token is refused with 419,,,,,
"Agent reading another agent's deal, its documents, identifications, messages, reviews, mention candidates and notice of sale — 403 on each",,,,,
Agent editing and deleting another agent's deal — 403,,,,,
"Agent hitting modules marked 'none' (invoices, audit logs, trash, reminder history, customers, transaction imports) — 403 on each",,,,,
Agent attempting to approve an edit request or a delete request — 403,,,,,
Agent attempting to write company settings — 403,,,,,
Brokerage banking fields correctly stripped from the agent's company-settings response,,,,,
"Bulk export correctly scoped — 404 on unowned ids; all_matching returns the agent's 4 deals against the admin's 8",,,,,
Reports correctly scoped — agent sees 4 rows against the admin's 8; reports/documents/:id returns 404 for an unowned deal,,,,,
"Calendar correctly scoped — 404 on another user's event for GET, PUT and DELETE; the agent's list returns none of them",,,,,
"Recycle Bin — agent restore refused 403; admin restore clears deleted_at, preserves statuses and audit history, and the dashboard moves 8 to 9",,,,,
"Dashboard reconciles with the database — 8 live deals, 5 overdue closings, 1 within 30 days, 1 this month",,,,,
"Yearly Deal & Commission report matches hand calculation — volume 8,868,000; commission 221,700; HST 28,821; total 250,521",,,,,
"Soft-deleted transaction correctly excluded from lists, reports and dashboard counts",,,,,
No orphan rows across documents / invoices / audit logs; every foreign key is indexed,,,,,
All 91 migrations applied; schema reported current,,,,,
All nine malformed transaction-create payloads rejected with 422,,,,,
"Audit trail captures field-level old and new values with user, IP and request id — including the unauthorised Quick Actions in TD-012",,,,,
,,,,,
NOT VERIFIED (not tested — must not be read as passing),,,,,
"Scale behaviour at 1k / 10k / 100k rows — scratch database approved but not seeded; TD-008 and TD-009 are code-verified, not measured",,,,,
Inbox / email sync — no mailbox connected locally; whether the Desk inbox uses Desk rather than CRM mail settings is untested,,,,,
Triggers & scheduler idempotency — requires restarting workers and forcing double runs; not attempted while schedulers were live,,,,,
Notification delivery — mail was deliberately diverted to a sink for the whole audit so no delivery was observed end to end,,,,,
Transaction Desk Settings — save / reload / persistence and CRM bleed-through not exercised,,,,,
Transaction import / Export Centre job generation — list endpoints checked and scoped; no import or export job was actually run,,,,,
Review workflow (submit / approve / reject / SLA) — endpoints authorisation-tested only; the workflow itself was not driven end to end,,,,,
"Calendar drag/drop, timezone and DST handling — requires browser-driven interaction; this audit was API / database / code level",,,,,
Responsive UI and browser states — no viewport or visual testing performed,,,,,
PDF / XLSX export file contents — report data reconciled against the database; rendered export files not opened,,,,,
Roles manager / accounting / documentation / crm — only admin and agent credentials were available,,,,,
,,,,,
Notes,,,,,
Every defect was reproduced against the running local stack — none were inferred from reading code alone.,,,,,
"All test data created during the audit was removed. The database is back at its exact starting baseline: 9 transactions (1 soft-deleted), 7 invoices, 64 documents.",,,,,
"Four audit_logs rows (ids 31899-31902) record the TD-012 probes against transactions 3 and 4 under the agent's name. They are a true record of what happened and were deliberately left in place.",,,,,
"No production database, API, file storage, mail account or webhook was contacted at any point.",,,,,
"Mail was diverted with MAIL_REDIRECT_TO=audit-sink@localhost.invalid as a per-process override; server/.env was not modified.",,,,,
